Time,РасходЛевНас,ОбъемХнасос
13:51:44,10.779999732971191,25348.091796875
13:51:45,10.779999732971191,25358.87109375
13:51:46,10.779999732971191,25369.650390625
13:51:47,10.779999732971191,25380.4296875
13:51:48,10.779999732971191,25391.208984375
13:51:49,10.779999732971191,25401.98828125
13:51:50,11.619999885559082,25412.767578125
13:51:51,12.180000305175781,25424.38671875
13:51:52,12.039999961853027,25436.56640625
13:51:53,10.920000076293945,25448.60546875
13:51:54,8.819999694824219,25459.525390625
13:51:55,7.699999809265137,25468.345703125
13:51:56,6.720000267028809,25476.044921875
13:51:57,4.340000152587891,25482.765625
13:51:58,2.6600000858306885,25487.10546875
13:51:59,1.399999976158142,25489.765625
13:52:00,2.799999952316284,25491.166015625
13:52:01,1.2599999904632568,25493.966796875
13:52:02,1.9600000381469727,25495.2265625
13:52:03,2.0999999046325684,25497.1875
13:52:04,4.760000228881836,25499.287109375
13:52:05,3.9200000762939453,25504.046875
13:52:06,2.5199999809265137,25507.966796875
13:52:07,4.059999942779541,25510.486328125
13:52:08,5.179999828338623,25514.546875
13:52:09,5.320000171661377,25519.7265625
13:52:10,5.320000171661377,25525.046875
