Client,Bush,Well,Work,Date,Time,ДавПравНас,ДавВыход,РасходПравНас,ТемпРецирк,ПлотРецирк,РасходВоды
Карабас,123,456,тестирование,19.12.2024,12:47:55,500.00,417.10,500.00,0.00,500.00,500.00
,,,,,12:47:56,164.21,417.10,500.00,0.00,500.00,500.00
,,,,,12:47:57,164.21,411.21,500.00,416.65,500.00,500.00
,,,,,12:47:58,164.21,411.21,500.00,416.65,500.00,500.00
,,,,,12:47:59,191.48,411.21,500.00,416.65,500.00,500.00
,,,,,12:48:00,191.48,411.21,500.00,416.65,500.00,500.00
,,,,,12:48:01,81.35,0.00,429.88,227.92,0.00,472.47
,,,,,12:48:02,0.00,0.00,429.88,227.92,0.00,472.47
,,,,,12:48:03,0.00,0.00,429.88,227.92,0.00,472.47
,,,,,12:48:04,0.00,215.78,331.72,350.57,0.00,500.00
,,,,,12:48:05,0.00,215.78,331.72,350.57,0.00,500.00
,,,,,12:48:06,0.00,215.78,331.72,350.57,0.00,500.00
,,,,,12:48:07,144.46,0.00,416.88,0.00,432.14,0.00
,,,,,12:48:08,0.00,0.00,416.88,0.00,432.14,0.00
,,,,,12:48:09,0.00,0.00,263.85,0.00,500.00,0.00
,,,,,12:48:10,0.00,0.00,263.85,0.00,500.00,0.00
,,,,,12:48:11,27.23,0.00,263.85,0.00,500.00,0.00
,,,,,12:48:12,27.23,0.00,263.85,0.00,500.00,0.00
,,,,,12:48:13,272.46,14.90,34.69,0.00,500.00,120.44
,,,,,12:48:14,500.00,14.90,34.69,0.00,500.00,75.57
,,,,,12:48:15,500.00,0.00,102.57,0.00,500.00,75.57
,,,,,12:48:16,176.57,0.00,102.57,0.00,500.00,75.57
,,,,,12:48:17,176.57,0.00,102.57,0.00,500.00,75.57
,,,,,12:48:18,176.57,0.00,102.57,0.00,500.00,75.57
,,,,,12:48:19,85.70,500.00,150.15,500.00,0.00,53.26
,,,,,12:48:20,85.70,500.00,150.15,500.00,0.00,53.26
,,,,,12:48:21,85.70,500.00,0.00,97.38,157.21,0.00
,,,,,12:48:22,85.70,500.00,0.00,97.38,157.21,0.00
,,,,,12:48:23,0.00,500.00,0.00,97.38,157.21,0.00
,,,,,12:48:24,0.00,500.00,0.00,97.38,157.21,0.00
,,,,,12:48:25,1.56,0.00,457.08,0.00,0.00,500.00
,,,,,12:48:26,1.56,0.00,500.00,0.00,11.31,500.00
,,,,,12:48:27,0.00,0.00,500.00,0.00,11.31,500.00
,,,,,12:48:28,0.00,0.00,500.00,0.00,11.31,500.00
,,,,,12:48:29,0.00,0.00,500.00,0.00,11.31,500.00
,,,,,12:48:30,0.00,0.00,12.63,0.00,413.27,500.00
,,,,,12:48:31,500.00,0.00,500.00,154.60,500.00,500.00
,,,,,12:48:32,500.00,0.00,500.00,154.60,500.00,500.00
,,,,,12:48:33,23.35,0.00,500.00,154.60,500.00,500.00
,,,,,12:48:34,23.35,0.00,500.00,450.26,479.54,500.00
,,,,,12:48:35,474.59,0.00,500.00,450.26,479.54,500.00
,,,,,12:48:36,474.59,0.00,500.00,450.26,479.54,500.00
,,,,,12:48:37,353.07,51.51,500.00,72.86,438.93,500.00
,,,,,12:48:38,0.00,500.00,500.00,113.16,439.48,500.00
,,,,,12:48:39,0.00,222.83,361.88,76.79,375.05,183.52
,,,,,12:48:40,161.31,222.83,361.88,76.79,375.05,183.52
,,,,,12:48:41,161.31,165.22,433.10,218.73,375.40,9.84
,,,,,12:48:42,376.73,165.22,433.10,218.73,375.40,9.84
,,,,,12:48:43,375.51,78.91,500.00,500.00,500.00,46.44
,,,,,12:48:44,375.51,78.91,500.00,500.00,500.00,46.44
,,,,,12:48:45,500.00,78.91,500.00,500.00,500.00,46.44
,,,,,12:48:46,500.00,78.91,500.00,500.00,500.00,46.44
,,,,,12:48:47,500.00,0.00,500.00,500.00,500.00,0.00
,,,,,12:48:48,500.00,0.00,500.00,500.00,500.00,0.00
,,,,,12:48:49,0.00,130.30,307.59,42.32,179.54,389.35
,,,,,12:48:50,486.52,130.30,307.59,42.32,179.54,389.35
,,,,,12:48:51,486.52,130.30,307.59,42.32,179.54,389.35
,,,,,12:48:52,486.52,0.00,143.65,0.00,500.00,30.27
,,,,,12:48:53,486.52,0.00,143.65,0.00,500.00,30.27
,,,,,12:48:54,191.17,0.00,143.65,0.00,500.00,30.27
,,,,,12:48:55,0.00,323.32,153.45,475.20,468.63,500.00
,,,,,12:48:56,150.15,323.32,153.45,475.20,468.63,500.00
,,,,,12:48:57,150.15,323.32,153.45,500.00,500.00,286.71
,,,,,12:48:58,150.15,500.00,375.33,500.00,500.00,286.71
,,,,,12:48:59,150.15,500.00,375.33,500.00,500.00,286.71
,,,,,12:49:00,0.00,500.00,375.33,500.00,500.00,286.71
,,,,,12:49:01,0.00,445.60,500.00,480.96,79.33,485.31
,,,,,12:49:02,56.92,232.55,500.00,500.00,0.00,160.66
,,,,,12:49:03,56.92,232.55,500.00,500.00,0.00,160.66
,,,,,12:49:04,255.12,232.55,500.00,500.00,0.00,160.66
,,,,,12:49:05,255.12,0.00,500.00,500.00,299.54,500.00
